"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"256","CZ00063584",14,0,0.002,0.1
"257","CZ00239453",3,0,0,0
"258","CZ75123924",1,0,0.001,0.05
"259","CZ27102246",1,0,0.001,0.05
"260","CZ70890650",40,0,0.004,0.2
"261","CZ00260444",6,0,0.001,0.05
"262","CZ40232191",3,0,0.001,0.05
"263","CZ00286010",16,0,0.002,0.1
"264","CZ46978194",4,0,0.001,0.05
"265","CZ00267449",5,0,0.001,0.05
"266","CZ25702556",9,0,0.002,0.1
"267","CZ62161172",4,0,0.001,0.05
"268","CZ25512285",4,0,0.001,0.05
"269","CZ65993390",211,0,0.02,1
"270","CZ00023299",7,0,0.001,0.05
"271","CZ70994234",13,0,0.002,0.1
"272","CZ25840819",1,0,0,0
"273","CZ27128164",1,0,0,0
"274","CZ25835661",5,0,0.001,0.05
"275","CZ00216224",12,0,0.002,0.1
"276","CZ27068641",1,0,0,0
"277","CZ47609109",1,0,0,0
"278","CZ60418885",3,0,0,0
"279","CZ25570722",3,0,0.001,0.05
"280","CZ26095203",1,0,0,0
"281","CZ45021309",3,0,0.001,0.05
"282","CZ27906329",1,0,0.001,0.05
"283","CZ70891508",7,0,0.001,0.05
"284","CZ46504788",1,0,0,0
"285","CZ00506729",2,0,0,0
"286","CZ70889546",36,0,0.004,0.2
"287","CZ61988987",4,0,0.001,0.05
"288","CZ26795311",2,0,0,0
"289","CZ00233129",1,0,0,0
"290","CZ27263827",9,0,0.001,0.05
"291","CZ45798851",2,0,0,0
"292","CZ00244732",20,0,0.002,0.1
"293","CZ70960399",19,0,0.002,0.1
"294","CZ45195706",11,0,0.001,0.05
"295","CZ70889953",35,0,0.004,0.2
"296","CZ00278181",2,0,0,0
"297","CZ70890005",28,0,0.003,0.15
"298","CZ00064441",1,0,0.001,0.05
"299","CZ72566205",1,0,0.001,0.05
"300","CZ26399113",2,0,0,0
"301","CZ00296643",8,0,0.001,0.05
"302","CZ62157124",4,0,0.001,0.05
"303","CZ25527380",7,0,0.001,0.05
"304","CZ25172328",13,0,0.001,0.05
"305","CZ70889988",67,0,0.007,0.35
"306","CZ00565679",13,0,0.001,0.05
"307","CZ25429949",7,0,0.001,0.05
"308","CZ25031716",2,0,0,0
"309","CZ25837982",8,0,0.001,0.05
"310","CZ00000582",5,0,0.001,0.05
"311","CZ15050050",10,0,0.002,0.1
"312","CZ26735865",1,0,0.001,0.05
"313","CZ41693752",1,0,0.001,0.05
"314","CZ45273910",40,0,0.004,0.2
"315","CZ61383082",6,0,0.001,0.05
"316","CZ28173279",10,0,0.002,0.1
"317","CZ25680081",1,0,0,0
"318","CZ00635901",4,0,0.001,0.05
"319","CZ00576832",4,0,0.001,0.05
"320","CZ60194120",2,0,0,0
"321","CZ00022179",2,0,0,0
"322","CZ24804053",3,0,0,0
"323","CZ00064491",1,0,0.001,0.05
"324","CZ26728435",1,0,0.001,0.05
"325","CZ25520059",4,0,0.001,0.05
"326","CZ00285455",2,0,0.001,0.05
"327","CZ47114444",6,0,0.001,0.05
"328","CZ61324230",2,0,0,0
"329","CZ00064190",2,0,0.001,0.05
"330","CZ18629628",4,0,0.001,0.05
"331","CZ70892156",34,0,0.005,0.25
"332","CZ25004638",11,0,0.001,0.05
"333","CZ00257125",1,0,0,0
"334","CZ62028081",2,0,0,0
"335","CZ45770174",11,0,0.001,0.05
"336","CZ47785977",8,0,0.001,0.05
"337","CZ70890692",30,0,0.004,0.2
"338","CZ00023001",7,0,0.001,0.05
"339","CZ70934860",15,0,0.002,0.1
"340","CZ40614948",10,0,0.001,0.05
"341","CZ00268097",2,0,0.001,0.05
"342","CZ16978307",1,0,0,0
"343","CZ00064211",2,0,0,0
"344","CZ64946134",5,0,0.001,0.05
"345","CZ00233242",2,0,0,0
"346","CZ62933591",3,0,0.001,0.05
"347","CZ00298441",5,0,0.001,0.05
"348","CZ47676175",8,0,0.001,0.05
"349","CZ72051612",1,0,0,0
"350","CZ26297086",4,0,0.001,0.05
"351","CZ00293881",6,0,0.001,0.05
"352","CZ45537585",6,0,0.001,0.05
"353","CZ26437741",2,0,0,0
"354","CZ00209813",1,0,0.001,0.05
"355","CZ15240720",1,0,0.001,0.05
"356","CZ25357603",5,0,0.001,0.05
"357","CZ00276227",1,0,0,0
"358","CZ42192153",2,0,0.001,0.05
"359","CZ41031024",1,0,0,0
"360","CZ43227864",5,0,0.001,0.05
"361","CZ27520579",3,0,0.001,0.05
"362","CZ45538875",2,0,0,0
"363","CZ00297577",15,0,0.002,0.1
"364","CZ26026279",9,0,0.001,0.05
"365","CZ00262340",3,0,0.001,0.05
"366","CZ63145057",3,0,0.001,0.05
"367","CZ25937499",5,0,0.001,0.05
"368","CZ27473295",3,0,0,0
"369","CZ29011299",2,0,0,0
"370","CZ25033514",16,0,0.002,0.1
"371","CZ63908701",2,0,0,0
"372","CZ61989592",21,0,0.003,0.15
"373","CZ00283924",10,0,0.001,0.05
"374","CZ42339839",7,0,0.001,0.05
"375","CZ28633113",3,0,0.001,0.05
"376","CZ00262781",1,0,0,0
"377","CZ40232549",4,0,0.001,0.05
"378","CZ00002739",27,0,0.004,0.2
"379","CZ44567022",4,0,0.001,0.05
"380","CZ18198074",4,0,0.001,0.05
"381","CZ25410946",2,0,0,0
"382","CZ00287113",1,0,0,0
"383","CZ25567225",4,0,0.001,0.05
"384","CZ49454501",19,0,0.002,0.1
"385","CZ70946078",18,0,0.002,0.1
"386","CZ75042860",6,0,0.001,0.05
"387","CZ25543512",1,0,0,0
"388","CZ62414402",3,0,0.001,0.05
"389","CZ60733098",3,0,0,0
"390","CZ63493675",3,0,0.001,0.05
"391","CZ63147165",5,0,0.001,0.05
"392","CZ00000205",14,0,0.002,0.1
"393","CZ18565832",2,0,0,0
"394","CZ18385958",6,0,0.001,0.05
"395","CZ26385759",3,0,0.001,0.05
"396","CZ70891320",11,0,0.002,0.1
"397","CZ47906898",3,0,0.001,0.05
"398","CZ25548484",2,0,0,0
"399","CZ26373611",2,0,0,0
"400","CZ27349187",3,0,0,0
"401","CZ45311005",2,0,0,0
"402","CZ10466452",5,0,0.001,0.05
